date,mosquito_ratio
2018-06-04,464.1
2018-06-03,525.4
2018-06-01,413.6
2018-05-31,274.0
2018-05-30,455.7
2018-05-29,297.6
2018-05-28,430.4
2018-05-27,502.7
2018-05-26,160.9
2018-05-25,101.7
2018-05-24,167.1
2018-05-23,230.3
2018-05-22,220.8
2018-05-21,183.3
2018-05-20,98.3
2018-05-19,130.8
2018-05-18,125.2
2018-05-17,164.3
2018-05-16,81.6
2018-05-15,71.5
2018-05-12,135.8
2018-05-10,15.0
2018-05-09,17.3
2018-05-08,24.0
2018-05-07,30.7
2018-05-04,13.4
2018-05-03,73.7
2018-05-02,50.3
2018-05-01,24.0
2018-04-30,25.1
2018-04-28,32.9
2018-04-27,41.9
2018-04-26,45.2
2018-04-24,19.0
2018-04-23,16.7
2018-04-22,20.1
2018-04-21,19.5
2018-04-20,17.8
2018-04-18,20.1
2018-04-17,20.6
2018-04-16,0.5
2018-04-15,0.5
2018-04-13,0.5
2018-04-12,1.1
2018-04-11,1.1
2018-04-10,0.5
2018-04-09,1.6
2018-04-06,10.6
2018-04-05,62.0
2018-04-04,109.5
2018-04-03,87.7
2018-04-02,17.8
2018-03-31,5.5
2018-03-29,5.5
2018-03-28,5.5
2018-03-27,5.5
2018-03-26,5.5
2018-03-25,5.5
2018-03-25,5.5
2018-03-24,5.5
2018-03-22,5.5
2018-03-21,5.5
2018-03-19,5.5
2018-03-18,5.5
2018-03-17,5.5
2018-03-16,5.5
2018-03-15,5.5
2018-03-14,5.5
2018-03-12,5.5
2018-03-10,5.5
2018-03-09,5.5
2018-03-07,5.5
2018-03-06,5.5
2018-03-05,5.5
2018-03-04,5.5
2018-03-02,5.5
2018-03-01,5.5
2018-02-28,5.5
2018-02-27,5.5
2018-02-24,5.5
2018-02-23,5.5
2018-02-23,5.5
2018-02-22,5.5
2018-02-21,5.5
2018-02-20,5.5
2018-02-18,5.5
2018-02-16,5.5
2018-02-13,5.5
2018-02-12,5.5
2018-02-11,5.5
2018-02-10,5.5
2018-02-09,5.5
2018-02-09,5.5
2018-02-08,5.5
2018-02-07,5.5
2018-02-06,5.5
2018-02-05,5.5
2018-02-04,5.5
2018-02-03,5.5
2018-02-02,5.5
2018-02-01,5.5
2018-01-31,5.5
2018-01-30,5.5
2018-01-29,5.5
2018-01-28,5.5
2018-01-27,5.5
2018-01-26,5.5
2018-01-24,5.5
2018-01-23,5.5
2018-01-22,5.5
2018-01-21,5.5
2018-01-19,5.5
2018-01-18,5.5
2018-01-16,5.5
2018-01-14,5.5
2018-01-13,5.5
2018-01-11,5.5
2018-01-10,5.5
2018-01-09,5.5
2018-01-08,5.5
2018-01-07,5.5
2018-01-06,5.5
2018-01-05,5.5
2018-01-04,5.5
2018-01-03,5.5
2018-01-02,5.5
2017-12-29,5.5
2017-12-27,5.5
2017-12-26,5.5
2017-12-25,5.5
2017-12-24,5.5
2017-12-23,5.5
2017-12-22,5.5
2017-12-20,5.5
2017-12-19,5.5
2017-12-17,5.5
2017-12-16,5.5
2017-12-15,5.5
2017-12-14,5.5
2017-12-11,5.5
2017-12-10,5.5
2017-12-09,5.5
2017-12-08,5.5
2017-12-07,5.5
2017-12-06,5.5
2017-12-05,5.5
2017-12-04,5.5
2017-12-03,5.5
2017-12-03,5.5
2017-12-02,5.5
2017-12-01,5.5
2017-11-30,5.5
2017-11-29,5.5
2017-11-28,5.5
2017-11-27,5.5
2017-11-26,5.5
2017-11-24,5.5
2017-11-23,5.5
2017-11-22,5.5
2017-11-21,5.5
2017-11-19,5.5
2017-11-18,5.5
2017-11-17,5.5
2017-11-15,5.5
2017-11-14,5.5
2017-11-13,5.5
2017-11-12,5.5
2017-11-09,5.5
2017-11-08,5.5
2017-11-07,5.5
2017-11-06,5.5
2017-11-05,5.5
2017-11-03,5.5
2017-11-02,5.5
2017-11-01,5.5
2017-10-31,23.4
2017-10-30,54.2
2017-10-29,92.2
2017-10-28,92.7
2017-10-27,92.7
2017-10-26,95.5
2017-10-25,96.7
2017-10-23,124.0
2017-10-22,115.1
2017-10-21,75.4
2017-10-19,66.5
2017-10-17,69.8
2017-10-16,74.3
2017-10-15,81.6
2017-10-12,341.3
2017-10-11,226.3
2017-10-07,185.5
2017-10-06,177.2
2017-10-04,221.9
2017-10-03,247.0
2017-10-01,329.5
2017-09-30,656.4
2017-09-29,520.4
2017-09-28,519.4
2017-09-27,491.0
2017-09-26,459.0
2017-09-23,383.3
2017-09-20,502.7
2017-09-19,477.5
2017-09-18,470.8
2017-09-17,450.6
2017-09-15,509.6
2017-09-15,509.6
2017-09-13,475.8
2017-09-11,489.3
2017-09-11,489.3
2017-09-10,515.5
2017-09-09,507.6
2017-09-08,499.4
2017-09-07,509.6
2017-09-06,506.6
2017-09-05,497.7
2017-09-02,381.7
2017-09-01,460.7
2017-09-01,460.7
2017-08-29,227.5
2017-08-28,285.8
2017-08-24,423.7
2017-08-23,443.9
2017-08-22,505.7
2017-08-21,513.5
2017-08-19,455.7
2017-08-18,454.0
2017-08-17,472.5
2017-08-15,554.9
2017-08-14,448.9
2017-08-13,317.7
2017-08-11,231.4
2017-08-10,211.8
2017-08-09,209.0
2017-08-08,181.6
2017-08-07,210.1
2017-08-06,228.0
2017-08-05,380.0
2017-08-05,380.0
2017-08-04,423.7
2017-08-03,428.7
2017-08-02,518.5
2017-08-01,529.3
2017-07-31,994.6
2017-07-30,969.2
2017-07-28,1000.0
2017-07-27,1000.0
2017-07-26,1000.0
2017-07-25,1000.0
2017-07-23,1000.0
2017-07-22,1000.0
2017-07-21,1000.0
2017-07-20,1000.0
2017-07-19,976.9
2017-07-17,919.6
2017-07-16,921.8
2017-07-14,900.8
2017-07-13,909.7
2017-07-10,928.4
2017-07-10,928.4
2017-07-09,884.3
2017-07-07,877.7
2017-07-06,855.6
2017-07-05,847.9
2017-07-04,794.9
2017-07-03,755.2
2017-07-02,756.3
2017-06-30,1000.0
2017-06-27,1000.0
2017-06-26,1000.0
2017-06-24,1000.0
2017-06-23,1000.0
2017-06-22,961.5
2017-06-21,797.1
2017-06-20,679.0
2017-06-18,566.7
2017-06-17,551.0
2017-06-15,500.7
2017-06-13,440.5
2017-06-12,381.7
2017-06-11,422.0
2017-06-10,501.7
2017-06-09,487.6
2017-06-08,455.7
2017-06-07,531.3
2017-06-06,613.0
2017-06-05,627.8
2017-06-04,475.8
2017-06-02,464.1
2017-06-01,406.9
2017-06-01,406.9
2017-05-31,450.6
2017-05-30,578.5
2017-05-29,829.1
2017-05-28,563.8
2017-05-27,248.1
2017-05-26,560.8
2017-05-25,467.4
2017-05-23,406.9
2017-05-21,205.7
2017-05-20,188.3
2017-05-19,169.9
2017-05-18,178.8
2017-05-17,158.1
2017-05-16,127.4
2017-05-15,110.1
2017-05-14,129.1
2017-05-13,125.2
2017-05-12,173.8
2017-05-10,559.8
2017-05-09,701.8
2017-05-08,208.4
2017-05-06,448.8
2017-05-05,204.7
2017-05-04,148.2
2017-05-03,106.7
2017-05-02,116.8
2017-05-01,65.3
2017-04-28,59.2
2017-04-27,58.6
2017-04-26,52.2
2017-04-25,45.5
2017-04-24,47.2
2017-04-23,51.4
2017-04-21,59.2
2017-04-20,55.4
2017-04-19,56.0
2017-04-17,67.3
2017-04-15,56.0
2017-04-14,57.4
2017-04-13,54.1
2017-04-12,53.7
2017-04-11,48.9
2017-04-10,39.7
2017-04-08,26.4
2017-04-07,21.5
2017-04-06,20.8
2017-04-04,14.4
2017-04-02,11.9
2017-03-30,11.3
2017-03-29,10.9
2017-03-28,11.4
2017-03-27,13.3
2017-03-26,14.2
2017-03-23,13.3
2017-03-22,12.8
2017-03-21,11.8
2017-03-20,10.5
2017-03-19,10.4
2017-03-18,9.6
2017-03-16,7.8
2017-03-15,5.9
2017-03-14,4.6
2017-03-13,3.7
2017-03-12,3.2
2017-03-10,2.7
2017-03-09,2.7
2017-03-08,3.6
2017-03-07,4.5
2017-03-06,5.0
2017-03-05,4.6
2017-03-04,4.0
2017-03-01,2.3
2017-02-28,1.8
2017-02-27,1.6
2017-02-26,1.4
2017-02-24,1.4
2017-02-23,1.7
2017-02-21,1.9
2017-02-20,2.0
2017-02-19,1.7
2017-02-18,1.6
2017-02-17,1.1
2017-02-16,0.8
2017-02-15,0.7
2017-02-14,0.6
2017-02-13,0.6
2017-02-12,0.6
2017-02-11,0.8
2017-02-09,1.2
2017-02-08,1.2
2017-02-07,1.0
2017-02-06,0.8
2017-02-05,0.9
2017-02-02,0.6
2017-01-31,0.5
2017-01-30,0.4
2017-01-28,0.3
2017-01-27,0.2
2017-01-26,0.3
2017-01-24,0.4
2017-01-23,0.5
2017-01-21,0.5
2017-01-20,0.4
2017-01-19,0.4
2017-01-17,0.3
2017-01-16,0.4
2017-01-15,0.8
2017-01-14,1.3
2017-01-13,2.0
2017-01-11,3.8
2017-01-09,5.5
2017-01-06,2.8
2017-01-04,1.5
2017-01-03,1.2
2017-01-02,1.1
2017-01-01,1.0
2016-12-31,0.9
2016-12-30,1.0
2016-12-29,1.4
2016-12-28,2.2
2016-12-27,3.3
2016-12-26,4.0
2016-12-25,5.0
2016-12-24,6.0
2016-12-22,3.5
2016-12-21,2.5
2016-12-20,2.1
2016-12-19,1.7
2016-12-17,1.2
2016-12-16,1.5
2016-12-14,2.1
2016-12-11,2.5
2016-12-10,3.0
2016-12-09,3.2
2016-12-08,3.4
2016-12-07,3.8
2016-12-06,4.2
2016-12-05,3.7
2016-12-03,3.1
2016-12-02,3.0
2016-12-01,2.5
2016-11-30,2.0
2016-11-28,2.9
2016-11-27,3.6
2016-11-26,5.7
2016-11-25,7.7
2016-11-24,11.7
2016-11-23,15.6
2016-11-22,16.0
2016-11-19,20.5
2016-11-17,29.7
2016-11-15,15.5
2016-11-13,14.9
2016-11-12,16.9
2016-11-11,18.5
2016-11-10,20.7
2016-11-09,21.9
2016-11-08,19.9
2016-11-07,14.6
2016-11-04,9.4
2016-11-03,11.2
2016-11-02,15.8
2016-11-01,25.0
2016-10-31,118.0
2016-10-29,172.3
2016-10-28,184.7
2016-10-27,207.2
2016-10-26,234.0
2016-10-25,248.1
2016-10-24,269.0
2016-10-23,288.5
2016-10-22,294.4
2016-10-21,283.3
2016-10-19,241.2
2016-10-17,212.9
2016-10-16,184.7
2016-10-15,173.1
2016-10-14,186.0
2016-10-13,197.9
2016-10-12,229.6
2016-10-10,328.3
2016-10-09,392.2
2016-10-07,453.0
2016-10-06,487.9
2016-10-04,447.4
2016-10-03,452.5
2016-10-01,513.2
2016-09-30,509.8
2016-09-29,513.2
2016-09-28,503.5
2016-09-27,496.8
2016-09-26,480.8
2016-09-24,481.3
2016-09-23,523.7
2016-09-21,623.5
2016-09-20,682.2
2016-09-19,708.9
2016-09-18,729.9
2016-09-17,759.2
2016-09-16,753.3
2016-09-13,756.7
2016-09-12,805.9
2016-09-11,821.4
2016-09-08,806.8
2016-09-07,697.8
2016-09-05,576.3
2016-09-04,517.9
2016-09-03,499.0
2016-09-02,491.2
2016-09-01,545.4
2016-08-30,480.8
2016-08-29,443.0
2016-08-28,394.8
2016-08-27,363.6
2016-08-26,339.2
2016-08-25,331.2
2016-08-24,330.5
2016-08-23,327.6
2016-08-22,328.9
2016-08-19,336.5
2016-08-18,335.6
2016-08-16,336.2
2016-08-15,332.0
2016-08-14,324.1
2016-08-13,323.8
2016-08-12,319.6
2016-08-11,320.0
2016-08-10,325.7
2016-08-08,338.5
2016-08-07,343.5
2016-08-05,368.9
2016-08-04,378.3
2016-08-02,381.3
2016-08-01,380.7
2016-07-31,387.5
2016-07-30,388.8
2016-07-27,369.9
2016-07-24,425.7
2016-07-23,464.1
2016-07-17,443.1
2016-07-16,410.2
2016-07-13,438.2
2016-07-11,489.1
2016-07-09,538.1
2016-07-08,550.2
2016-07-07,546.5
2016-07-06,535.2
2016-07-05,525.7
2016-07-04,511.1
2016-07-03,505.3
2016-07-02,509.8
2016-07-01,518.3
2016-06-29,729.1
2016-06-28,754.9
2016-06-27,755.0
2016-06-25,795.1
2016-06-24,789.7
2016-06-23,728.3
2016-06-22,648.6
2016-06-21,624.2
2016-06-20,615.2
2016-06-19,601.5
2016-06-18,575.6
2016-06-17,606.2
2016-06-16,643.5
2016-06-15,666.3
2016-06-14,639.9
2016-06-13,645.7
2016-06-12,658.9
2016-06-11,644.2
2016-06-08,616.5
2016-06-07,606.2
2016-06-05,554.7
2016-06-04,558.4
2016-06-03,539.9
2016-06-02,496.2
2016-06-01,460.2
2016-05-31,427.2
2016-05-30,434.5
2016-05-29,465.9
2016-05-28,487.3
2016-05-27,527.9
2016-05-26,582.1
2016-05-24,614.4
2016-05-23,522.5
2016-05-22,438.4
2016-05-21,407.0
2016-05-20,353.6
2016-05-19,309.7
2016-05-18,275.2
2016-05-17,256.9
2016-05-16,299.9
2016-05-15,306.4
2016-05-14,277.8
2016-05-13,258.2
2016-05-12,261.1
2016-05-11,252.1
2016-05-10,240.8
2016-05-09,249.6
2016-05-08,249.0
2016-05-07,243.2
2016-05-06,248.5
2016-05-05,243.8
2016-05-04,256.2
2016-05-03,304.0
2016-05-02,273.5
